Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Robert Parish,40,BOS,C,74,74,26.9,4.8,9.8,.491,0.0,0.0,,4.8,9.8,.491,.491,2.1,2.8,.740,1.9,5.4,7.3,1.1,0.6,1.3,1.5,2.6,11.7,,parisro01
2,Moses Malone,38,PHI,C,55,0,11.2,1.9,4.2,.440,0.0,0.0,.000,1.9,4.2,.442,.440,1.6,2.1,.769,1.9,2.2,4.1,0.6,0.2,0.3,1.1,0.9,5.3,,malonmo01
3,James Edwards,38,LAL,C,45,2,10.4,1.7,3.7,.464,0.0,0.0,,1.7,3.7,.464,.464,1.2,1.8,.684,0.2,1.2,1.4,0.5,0.1,0.1,0.7,2.0,4.7,,edwarja01
4,Tree Rollins,38,ORL,C,45,1,8.5,0.6,1.2,.547,0.0,0.0,,0.6,1.2,.547,.547,0.4,0.7,.600,0.7,1.4,2.1,0.2,0.2,0.8,0.3,1.2,1.7,,rollitr01
5,Bill Laimbeer,36,DET,C,11,5,22.5,4.3,8.2,.522,0.3,0.8,.333,4.0,7.4,.543,.539,1.0,1.2,.846,0.8,4.3,5.1,1.3,0.5,0.4,0.9,2.7,9.8,,laimbbi01
6,Bill Cartwright,36,CHI,C,42,41,18.6,2.3,4.5,.513,0.0,0.0,,2.3,4.5,.513,.513,0.9,1.4,.684,1.0,2.6,3.6,1.4,0.2,0.2,1.2,2.0,5.6,,cartwbi01
7,Charles Jones,36,DET,C,42,0,20.9,0.9,1.9,.462,0.0,0.0,.000,0.9,1.8,.468,.462,0.5,0.8,.559,2.1,3.5,5.6,0.7,0.3,1.0,0.3,3.2,2.2,,jonesch01
8,Earl Cureton,36,HOU,PF,2,0,15.0,1.0,4.0,.250,0.0,0.0,,1.0,4.0,.250,.250,0.0,1.0,.000,2.0,4.0,6.0,0.0,0.0,0.0,0.5,2.0,2.0,,curetea01
9,Ron Anderson,35,2TM,SF,21,2,17.0,1.7,4.1,.407,0.3,1.2,.269,1.3,2.9,.467,.448,0.9,1.1,.826,0.8,1.8,2.5,0.8,0.4,0.1,0.5,0.8,4.6,,anderro01
10,Frank Johnson,35,PHO,PG,70,5,12.5,1.9,4.3,.448,0.0,0.2,.167,1.9,4.1,.460,.452,0.8,1.0,.783,0.4,0.8,1.2,2.1,0.6,0.0,0.9,1.7,4.6,,johnsfr01
11,Kurt Rambis,35,LAL,PF,50,1,12.7,1.2,2.3,.518,0.0,0.0,.000,1.2,2.3,.522,.518,0.9,1.4,.648,1.7,2.1,3.8,0.6,0.4,0.5,0.5,1.8,3.3,,rambiku01
12,Herb Williams,35,NYK,C,70,3,11.1,1.5,3.3,.442,0.0,0.0,.000,1.5,3.3,.444,.442,0.4,0.6,.643,0.8,1.8,2.6,0.4,0.3,0.6,0.6,1.5,3.3,,willihe01
13,Rick Mahorn,35,NJN,PF,28,0,8.1,0.8,1.7,.489,0.0,0.0,.000,0.8,1.6,.500,.489,0.5,0.7,.650,0.6,1.4,1.9,0.2,0.1,0.2,0.3,1.4,2.1,,mahorri01
14,Dominique Wilkins,34,2TM,SF,74,74,35.6,9.4,21.5,.440,1.1,4.0,.288,8.3,17.5,.474,.466,6.0,7.1,.847,2.5,4.0,6.5,2.3,1.2,0.4,2.3,1.7,26.0,MVP-11ASNBA3,wilkido01
15,Ricky Pierce,34,SEA,SG,51,0,20.0,5.3,11.3,.471,0.1,0.6,.188,5.2,10.7,.488,.477,3.7,4.1,.896,0.6,1.1,1.6,1.8,0.8,0.1,1.3,1.6,14.5,6MOY-4,piercri01
16,Frank Brickowski,34,2TM,C,71,46,29.5,5.2,10.6,.488,0.1,0.3,.200,5.1,10.3,.496,.491,2.7,3.6,.768,1.2,4.5,5.7,3.1,1.1,0.4,2.5,3.4,13.2,,brickfr01
17,Orlando Woolridge,34,PHI,SF,74,1,26.4,4.9,10.4,.471,0.0,0.2,.071,4.9,10.3,.478,.472,2.8,4.1,.689,1.4,2.6,4.0,1.9,0.6,0.8,1.9,2.5,12.7,6MOY-6,woolror01
18,Eddie Johnson,34,CHH,SF,73,27,20.0,4.6,10.1,.459,0.8,2.1,.393,3.8,8.1,.476,.499,1.4,1.7,.780,1.1,2.0,3.1,1.7,0.5,0.1,1.2,2.0,11.5,,johnsed03
19,Tom Chambers,34,UTA,PF,80,0,23.0,4.1,9.4,.440,0.2,0.6,.311,3.9,8.8,.448,.449,2.8,3.5,.786,1.1,3.0,4.1,1.0,0.5,0.4,1.1,2.9,11.2,,chambto01
20,Larry Nance,34,CLE,PF,33,19,27.5,4.6,9.5,.487,0.0,0.0,,4.6,9.5,.487,.487,1.9,2.6,.753,2.3,4.5,6.9,1.5,0.8,1.7,1.2,2.9,11.2,,nancela01
21,Mark Aguirre,34,LAC,SF,39,0,22.0,4.2,8.9,.468,0.9,2.4,.398,3.2,6.5,.494,.522,1.3,1.8,.694,0.7,2.3,3.0,2.7,0.5,0.2,1.8,2.5,10.6,,aguirma01
22,Danny Ainge,34,PHO,SG,68,1,22.9,3.3,7.9,.417,1.2,3.6,.328,2.1,4.3,.491,.492,1.1,1.4,.830,0.4,1.5,1.9,2.6,0.8,0.1,1.2,2.1,8.9,,aingeda01
23,Rolando Blackman,34,NYK,SG,55,1,17.6,2.9,6.7,.436,0.5,1.5,.357,2.4,5.2,.460,.477,0.9,1.0,.906,0.4,1.3,1.7,1.4,0.5,0.1,0.8,1.8,7.3,,blackro01
24,Rod Higgins,34,CLE,SF,36,11,15.2,2.0,4.5,.436,0.6,1.4,.440,1.4,3.1,.434,.503,0.9,1.2,.738,0.7,1.6,2.3,1.0,0.7,0.4,0.6,1.5,5.4,,higgiro01
25,Mike Gminski,34,2TM,C,29,7,10.7,1.2,3.6,.350,0.0,0.0,,1.2,3.6,.350,.350,0.5,0.6,.778,0.8,1.8,2.6,0.4,0.4,0.6,0.4,0.8,3.0,,gminsmi01
26,Chuck Nevitt,34,SAS,C,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,3.0,6.0,.500,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,,nevitch01
27,Lester Conner,34,IND,PG,11,0,15.4,1.3,3.5,.368,0.0,0.3,.000,1.3,3.2,.400,.368,0.3,0.5,.500,0.9,1.3,2.2,2.8,1.3,0.1,0.8,1.1,2.8,,connele01
28,Danny Schayes,34,2TM,C,36,6,10.1,0.8,2.3,.333,0.0,0.0,,0.8,2.3,.333,.333,0.8,0.9,.906,0.9,1.3,2.2,0.4,0.3,0.3,0.6,1.3,2.4,,schayda01
29,Dale Ellis,33,SAS,SF,77,75,33.6,6.2,12.6,.494,1.7,4.3,.395,4.5,8.2,.546,.562,1.1,1.4,.776,0.9,2.4,3.3,1.0,0.9,0.1,1.0,1.8,15.2,,ellisda01
30,Buck Williams,33,POR,PF,81,81,32.5,3.6,6.5,.555,0.0,0.0,.000,3.6,6.5,.556,.555,2.5,3.7,.679,3.9,6.5,10.4,1.0,0.7,0.6,1.4,3.0,9.7,,willibu01
31,Fat Lever,33,DAL,PG,81,54,24.0,2.8,6.9,.408,0.3,0.9,.351,2.5,6.0,.416,.431,0.9,1.2,.765,1.0,2.5,3.5,2.6,2.0,0.2,1.1,1.9,6.9,,leverfa01
32,Mark West,33,PHO,C,82,50,15.1,2.0,3.5,.566,0.0,0.0,,2.0,3.5,.566,.566,0.7,1.4,.500,1.4,2.2,3.6,0.4,0.4,1.3,0.9,2.6,4.7,,westma01
33,Sleepy Floyd,33,SAS,PG,53,2,13.9,1.3,3.9,.335,0.2,0.7,.222,1.2,3.3,.358,.354,1.0,1.5,.667,0.2,1.1,1.3,1.9,0.2,0.2,1.2,1.3,3.8,,floydsl01
34,John Paxson,33,CHI,PG,27,0,12.7,1.1,2.5,.441,0.3,0.8,.409,0.8,1.7,.457,.507,0.0,0.1,.500,0.1,0.6,0.7,1.2,0.3,0.1,0.2,0.7,2.6,,paxsojo01
35,John Bagley,33,ATL,PG,3,0,4.3,0.0,0.7,.000,0.0,0.0,,0.0,0.7,.000,.000,0.7,0.7,1.000,0.0,0.3,0.3,1.0,0.0,0.0,0.0,0.7,0.7,,baglejo01
36,Randy Breuer,33,SAC,C,26,3,9.5,0.3,1.0,.308,0.0,0.0,.000,0.3,1.0,.320,.308,0.1,0.5,.214,0.6,1.6,2.2,0.3,0.2,0.7,0.3,1.2,0.7,,breuera01
37,Jeff Malone,32,2TM,SG,77,73,33.2,6.8,14.0,.486,0.1,0.2,.583,6.7,13.9,.485,.489,2.7,3.2,.830,0.7,1.9,2.6,1.6,0.5,0.1,1.1,1.6,16.4,,malonje01
38,Isiah Thomas,32,DET,PG,58,56,30.2,5.5,13.2,.417,0.7,2.2,.310,4.8,11.0,.438,.442,3.1,4.4,.702,0.8,1.9,2.7,6.9,1.2,0.1,3.5,2.2,14.8,,thomais01
39,Sam Perkins,32,SEA,PF,81,41,26.8,4.2,9.6,.438,1.2,3.3,.367,3.0,6.3,.475,.501,2.7,3.4,.801,1.5,3.0,4.5,1.4,0.8,0.4,1.3,2.4,12.3,,perkisa01
40,Sedale Threatt,32,LAL,PG,81,20,28.1,5.1,10.5,.482,0.1,0.4,.152,5.0,10.1,.496,.485,1.7,1.9,.890,0.3,1.5,1.9,4.2,1.4,0.2,1.3,2.3,11.9,,threase01
41,Byron Scott,32,IND,SG,67,2,17.9,3.8,8.2,.467,0.4,1.1,.365,3.4,7.1,.483,.492,2.3,2.9,.805,0.3,1.4,1.6,2.0,0.9,0.1,1.5,1.2,10.4,,scottby01
42,James Worthy,32,LAL,SF,80,2,20.0,4.3,10.5,.406,0.4,1.4,.288,3.9,9.1,.424,.425,1.3,1.7,.741,0.6,1.7,2.3,1.9,0.6,0.2,1.2,1.0,10.2,,worthja01
